video_url,comment
https://www.youtube.com/watch?v=VxxeBMJXxmQ,BJP will get just 80 Lok Sabha seats in this 18th parliamentary elections.  I.N.D.I.A.  The alliance won more than 400 Lok Sabha constituencies and formed a Congress-led government.  Rajiv's son Rahul Gandhi becomes Prime Minister in the election conducted by Rajiv Kumar.- Ramlala
https://www.youtube.com/watch?v=VxxeBMJXxmQ,India alliance form government in 4th June  here is a big surprise for India
https://www.youtube.com/watch?v=VxxeBMJXxmQ,"Godi Media 

Wait till 4th June"
https://www.youtube.com/watch?v=VxxeBMJXxmQ,Now blame EVM movement will start 
https://www.youtube.com/watch?v=VxxeBMJXxmQ,Modi ji pm again great
https://www.youtube.com/watch?v=VxxeBMJXxmQ,INDIA 321-405
https://www.youtube.com/watch?v=VxxeBMJXxmQ,There is no chance to win NDA
https://www.youtube.com/watch?v=VxxeBMJXxmQ,Fake news
https://www.youtube.com/watch?v=VxxeBMJXxmQ,All are fraud
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Only godi media declar that bjp win let see on 4th june
https://www.youtube.com/watch?v=1Iy0nNsuM9w,"Just wait for 4th June, don't waste your time sleep."
https://www.youtube.com/watch?v=1Iy0nNsuM9w,"Simple words no confusion, again MODI IS PM"
https://www.youtube.com/watch?v=1Iy0nNsuM9w,"My poll BJP 378 + nda 422 look what is the real result .,."
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Modi ji need India 400+ okkkkkkkkkkkkk PM modi ji 
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Why congress is continuing with Rahul Gandhi if Congress give chance to  outsider i think congress wouldn't  be so weak
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Only bjp 
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Is baar phir Modiji ka Sarkar  
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Now godi media is 
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Only bjp modi hain toh mumkin hai 
https://www.youtube.com/watch?v=1Iy0nNsuM9w,godi media only
https://www.youtube.com/watch?v=1Iy0nNsuM9w,386 Sets NDA
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Modi only requires 370 seats to bring some special changes to the country
https://www.youtube.com/watch?v=1Iy0nNsuM9w,BJP sarkaar Modi ji total sit 187   Indian 2024 fully fall
https://www.youtube.com/watch?v=1Iy0nNsuM9w,BJP 
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Where is 400 par?
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Godi media of modani started to keep shouting.
https://www.youtube.com/watch?v=1Iy0nNsuM9w,"Until Congress openly apologises to majority community for ignoring their religious sentiments, until it assures it won't repeat minority appeasement, CONG & TEAM WON'T WIN. Such a simple fact they don't want to understand."
https://www.youtube.com/watch?v=1Iy0nNsuM9w,"Considerable amount of payment will be made to these medias by the BJP.
If you said 400+ to BJP, you would be paid more."
https://www.youtube.com/watch?v=1Iy0nNsuM9w,Modi will win 500 seats for sure
